"['amazon elastic compute cloud', 2, 0, 0]"
"['boost', 52, 5, 0.09615384615384616]"
"['clustering .', 1, 0, 0]"
"['ec2', 15, 0, 0]"
"['ec', 1, 12, 12.0]"
"['git .', 1, 0, 0]"
"['jmp', 8, 7, 0.875]"
"['k near neighbor classification', 1, 0, 0]"
"['k-nn', 8, 0, 0]"
"['pca', 52, 11, 0.21153846153846154]"
"['principal component analysis', 32, 0, 0]"
"['regression analysis', 10, 0, 0]"
"['visualization', 65, 273, 4.2]"
"['sap', 27, 16, 0.5925925925925926]"
"['postgresql', 42, 17, 0.40476190476190477]"
"['sybase', 11, 0, 0]"
"['python 3.2/2.7 , hive , tableau , r , qlikview , mysql , ms sql server 2008/2012 , aws , s3 , ec2 , linux , jupyter notebook , rnn , ann , spark , hadoop .', 1, 0, 0]"
"['python , keras with tensorflow backend , opencv for image resizing . pytesseract , flask , mongodb , redis , rabbitmq , pyspark , dask , numpy , amazon web service ( aws ) emr cluster for spark , deep neural network , deep learning , nltk , glove , convolutional neural network ( cnn ) , computer vision , image recognition', 1, 0, 0]"
"['logistic regression', 75, 0, 0]"
"['kafka', 45, 17, 0.37777777777777777]"
"['map reduce', 12, 0, 0]"
"['zookeeper', 2, 0, 0]"
"['vsam', 1, 0, 0]"
"['linear regression', 54, 0, 0]"
"['selenium', 10, 5, 0.5]"
"['classification', 3, 113, 37.666666666666664]"
"['signal processing', 3, 0, 0]"
"['neural network ( convolustional & recurrent )', 1, 0, 0]"
"['github', 3, 21, 7.0]"
"['front-end', 3, 0, 0]"
"['software development', 8, 0, 0]"
"['decision tree', 59, 0, 0]"
"['c/c++', 17, 0, 0]"
"['docker', 35, 23, 0.6571428571428571]"
"['virtualization', 1, 5, 5.0]"
"['apache', 18, 34, 1.8888888888888888]"
"['microsoft sql server', 15, 0, 0]"
"['sql server', 93, 0, 0]"
"['visio', 60, 2, 0.03333333333333333]"
"['power bi', 59, 0, 0]"
"['erwin', 13, 0, 0]"
"['data cleanse', 3, 0, 0]"
"['perceptron', 2, 1, 0.5]"
"['q-learning', 1, 0, 0]"
"['sarsa', 1, 0, 0]"
"['svm', 62, 32, 0.5161290322580645]"
"['big data ( gps , cdr ) , r , python , pyspark , aws ( ec2 , s3 ) , linux , agent-based modeling , simulation , matsim , daysim', 1, 0, 0]"
"['mahout', 1, 8, 8.0]"
"['data analyst', 7, 0, 0]"
"['lda', 85, 1, 0.011764705882352941]"
"['unstructured data', 2, 0, 0]"
"['data visualization .', 1, 0, 0]"
"['microsoft access', 8, 0, 0]"
